Thickness,Temp,STD
0.835844,21.684866,0.000903
0.835839,21.66899,0.001084
0.835842,21.655411,0.000724
0.835845,21.649752,0.000764
0.835846,21.634772,0.000617
0.835843,21.626535,0.001145
0.83584,21.62245,0.000741
0.83584,21.620568,0.000658
0.83584,21.62408,0.00062
0.83584,21.6209,0.000904
0.835842,21.619384,0.000761
0.835843,21.622008,0.000541
0.835843,21.625045,0.000769
0.835844,21.627658,0.000639
0.835843,21.644132,0.000559
0.835844,21.655993,0.000641
0.835846,21.650855,0.000666
0.835851,21.649972,0.001775
0.835845,21.661417,0.001709
0.83585,21.688144,0.001164
0.83585,21.723642,0.000485
0.83585,21.748681,0.000471
0.835854,21.772275,0.001315
0.835854,21.799325,0.000406
0.835856,21.82035,0.000735
0.835859,21.83762,0.001134
0.835859,21.862679,0.000519
0.835862,21.883156,0.001342
0.835864,21.882904,0.000766
0.835866,21.883789,0.000841
0.835867,21.88712,0.000526
0.835869,21.907586,0.001034
0.835871,21.919438,0.000981
0.835873,21.923363,0.001086
0.835877,21.925613,0.001198
0.835876,21.933369,0.000722
0.835877,21.933285,0.000811
0.835879,21.939162,0.001273
0.835885,21.956856,0.001631
0.83588,21.975894,0.001362
0.835885,21.983913,0.001749
0.835885,21.989012,0.000615
0.835885,22.002979,0.000727
0.83589,22.019001,0.001362
0.835895,22.041499,0.002493
0.835895,22.051674,0.000518
0.835895,22.052269,0.000558
0.835899,22.061242,0.001067
0.835902,22.074685,0.001375
0.835927,22.095794,0.00828
0.83594,22.113115,0.004244
0.835946,22.118626,0.002949
0.835933,22.117688,0.003597
0.835935,22.122045,0.001969
0.83593,22.121746,0.001662
0.835922,22.12629,0.002489
0.835916,22.130056,0.001492
0.835933,22.130601,0.004573
0.835925,22.141501,0.002293
0.835925,22.142705,0.000362
0.835922,22.145985,0.001284
0.835925,22.147273,0.001093
0.835922,22.15135,0.000884
0.835924,22.148457,0.000688
0.835926,22.155021,0.000637
0.835921,22.160917,0.001443
0.835922,22.158305,0.000509
0.835922,22.154531,0.000519
0.835924,22.149454,0.000762
0.835928,22.142264,0.001949
0.835931,22.139428,0.000638
0.835928,22.135913,0.00068
0.835926,22.137961,0.001297
0.835928,22.127185,0.00115
0.835929,22.117368,0.000404
0.835925,22.122866,0.000912
0.835924,22.115421,0.00123
0.835923,22.110571,0.000645
0.835922,22.102887,0.000784
0.83592,22.091224,0.00078
0.835918,22.0896,0.000767
0.835921,22.080923,0.001034
0.835918,22.082159,0.000914
0.83592,22.095652,0.000759
0.835916,22.111517,0.001392
0.835918,22.1257,0.001303
0.835918,22.128128,0.000676
0.835914,22.134874,0.001063
0.835918,22.128641,0.00112
0.835915,22.123847,0.000927
0.835917,22.113158,0.000897
0.835915,22.110046,0.000926
0.835916,22.115947,0.000523
0.835917,22.130109,0.000895
0.835917,22.137438,0.000544
0.835915,22.151469,0.00121
0.835912,22.157697,0.000659
0.835914,22.16004,0.000837
0.835912,22.16086,0.000853
0.83591,22.167805,0.000766
0.835912,22.158536,0.000591
0.83591,22.158835,0.000611
0.835912,22.152456,0.000725
0.835911,22.153648,0.000565
0.83591,22.153741,0.000413
0.835914,22.145389,0.001132
0.83591,22.136916,0.001335
0.835912,22.126421,0.000852
0.835908,22.116666,0.001405
0.835909,22.103978,0.001006
0.835908,22.098943,0.000818
